RANK_TIER,RANK_RANGE,DECKABILITYNAME,WINRATE_PCT,PLAYRATE_PCT
1,30-26,Fruits of Ysgith,66.15,1.6
1,30-26,Uprising,64.53,0.93
1,30-26,Shieldwall,61.92,1.34
1,30-26,Patricidal Fury,60.41,0.84
1,30-26,Nature's Gift,58.99,0.65
1,30-26,Mahakam Forge,58.98,0.7
1,30-26,Royal Inspiration,58.3,1.6
1,30-26,Overwhelming Hunger,56.54,2.89
1,30-26,Deadeye Ambush,56.53,0.56
1,30-26,Lockdown,55.98,0.97
1,30-26,Rage of the Sea,55.61,0.28
1,30-26,Mobilization,54.31,0.8
1,30-26,Enslave,53.86,0.4
1,30-26,Battle Trance,53.66,0.21
1,30-26,Imposter,53.6,01.01
1,30-26,Carapace,52.53,28.51
1,30-26,Hidden Cache,52.01,0.26
1,30-26,Precision Strike,51.81,0.45
1,30-26,Force of Nature,51.44,4.29
1,30-26,Pincer Maneuver,50.97,0.72
1,30-26,Congregate,50.92,0.19
1,30-26,Arachas Swarm,50.24,1.33
1,30-26,Ursine Ritual,50.21,0.53
1,30-26,Blood Scent,50.2,2.59
1,30-26,Stockpile,50.15,0.53
1,30-26,Guerilla Tactics,50.04,0.75
1,30-26,Inspired Zeal,48.77,10.97
1,30-26,Reckless Flurry,47.89,1.23
1,30-26,White Frost,47.8,1.28
1,30-26,Tactical Decision,47.35,0.96
1,30-26,Double Cross,46.3,1.34
1,30-26,Imprisonment,45.56,10.06
1,30-26,Off the Books,44.78,0.09
1,30-26,Call of Harmony,44.76,0.36
1,30-26,Invigorate,44.13,8.79
1,30-26,Imperial Formation,43.02,01.01
1,30-26,Blaze of Glory,42.93,0.15
1,30-26,Lined Pockets,41.75,0.1
1,30-26,Onslaught,41.59,8.4
1,30-26,Jackpot,35.59,0.13
1,30-26,Blood Money,32.61,0.17
1,30-26,Pirate's Cove,31.16,0.05
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
2,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
3,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
4,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
5,,,,
